"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","has title","chromium","Wed Apr 16 08:53:32 GMT 2025","passed","Wed Apr 16 08:53:32 GMT 2025","","example.spec.ts","",""
"","381","get started link","chromium","Wed Apr 16 08:53:33 GMT 2025","passed","Wed Apr 16 08:53:33 GMT 2025","","example.spec.ts","",""
