"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","331","has title","chromium","Mon Apr 07 17:31:09 GMT 2025","passed","Mon Apr 07 17:31:09 GMT 2025","","example.spec.ts","",""
"","408","get started link","chromium","Mon Apr 07 17:31:09 GMT 2025","passed","Mon Apr 07 17:31:10 GMT 2025","","example.spec.ts","",""
