"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","842","has title","chromium","Tue Apr 15 15:41:18 GMT 2025","passed","Tue Apr 15 15:41:19 GMT 2025","","example.spec.ts","",""
"","433","get started link","chromium","Tue Apr 15 15:41:26 GMT 2025","passed","Tue Apr 15 15:41:27 GMT 2025","","example.spec.ts","",""
