"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","312","has title","chromium","Tue Apr 08 08:33:04 GMT 2025","passed","Tue Apr 08 08:33:04 GMT 2025","","example.spec.ts","",""
"","359","get started link","chromium","Tue Apr 08 08:33:05 GMT 2025","passed","Tue Apr 08 08:33:05 GMT 2025","","example.spec.ts","",""
