"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","has title","chromium","Mon Apr 07 21:48:11 GMT 2025","passed","Mon Apr 07 21:48:11 GMT 2025","","example.spec.ts","",""
"","354","get started link","chromium","Mon Apr 07 21:48:11 GMT 2025","passed","Mon Apr 07 21:48:12 GMT 2025","","example.spec.ts","",""
