"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","418","get started link","chromium","Mon Apr 07 17:39:21 GMT 2025","passed","Mon Apr 07 17:39:21 GMT 2025","","example.spec.ts","",""
"","312","has title","chromium","Mon Apr 07 17:39:20 GMT 2025","passed","Mon Apr 07 17:39:21 GMT 2025","","example.spec.ts","",""
