"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","480","get started link","chromium","Tue Apr 08 10:38:43 GMT 2025","passed","Tue Apr 08 10:38:43 GMT 2025","","example.spec.ts","",""
"","629","has title","chromium","Tue Apr 08 10:38:42 GMT 2025","passed","Tue Apr 08 10:38:42 GMT 2025","","example.spec.ts","",""
